mpnn,bb,seq,count,B1,B2,B3
v8,28,0,3,1,2,0
v8,28,1,4,2,2,0
v8,28,2,3,3,0,0
v8,28,3,5,3,2,0
v8,28,4,5,3,2,0
v8,28,5,5,3,2,0
v8,28,6,4,3,1,0
v8,28,7,5,3,2,0
v8,28,8,5,3,2,0
v8,28,9,4,3,1,0
v8,28,10,5,3,2,0
v8,28,11,3,2,1,0
v8,28,12,4,3,1,0
v8,28,13,6,4,2,0
v8,28,14,4,2,2,0
v8,28,15,5,3,2,0
v8,28,16,4,2,2,0
v8,28,17,6,4,2,0
v8,28,18,5,3,2,0
v8,28,19,3,3,0,0
v8,28,20,5,3,2,0
v8,28,21,5,3,2,0
v8,28,22,1,1,0,0
v8,28,23,4,2,2,0
v8,28,24,4,3,1,0
v8,29,0,4,2,2,0
v8,29,1,5,3,2,0
v8,29,2,2,2,0,0
v8,29,3,6,4,2,0
v8,29,4,3,2,1,0
v8,29,5,5,3,2,0
v8,29,6,1,1,0,0
v8,29,7,4,3,1,0
v8,29,8,4,2,2,0
v8,29,9,5,3,2,0
v8,29,10,4,2,2,0
v8,29,11,3,1,2,0
v8,29,12,4,2,2,0
v8,29,13,0,0,0,0
v8,29,14,3,2,1,0
v8,29,15,3,2,1,0
v8,29,16,0,0,0,0
v8,29,17,6,4,2,0
v8,29,18,5,3,2,0
v8,29,19,3,1,2,0
v8,29,20,4,2,2,0
v8,29,21,3,2,1,0
v8,29,22,5,3,2,0
v8,29,23,4,2,2,0
v8,29,24,3,3,0,0
v8,30,0,1,1,0,0
v8,30,1,1,1,0,0
v8,30,2,0,0,0,0
v8,30,3,3,3,0,0
v8,30,4,4,3,1,0
v8,30,5,0,0,0,0
v8,30,6,4,3,1,0
v8,30,7,5,3,2,0
v8,30,8,2,2,0,0
v8,30,9,5,3,2,0
v8,30,10,6,4,2,0
v8,30,11,3,2,0,1
v8,30,12,5,3,2,0
v8,30,13,3,2,1,0
v8,30,14,4,3,1,0
v8,30,15,5,3,2,0
v8,30,16,0,0,0,0
v8,30,17,0,0,0,0
v8,30,18,0,0,0,0
v8,30,19,4,3,1,0
v8,30,20,4,2,2,0
v8,30,21,0,0,0,0
v8,30,22,3,3,0,0
v8,30,23,5,4,1,0
v8,30,24,4,2,2,0
v8,31,0,1,1,0,0
v8,31,1,0,0,0,0
v8,31,2,0,0,0,0
v8,31,3,4,3,1,0
v8,31,4,0,0,0,0
v8,31,5,1,1,0,0
v8,31,6,0,0,0,0
v8,31,7,3,2,1,0
v8,31,8,3,2,1,0
v8,31,9,0,0,0,0
v8,31,10,4,2,2,0
v8,31,11,2,2,0,0
v8,31,12,0,0,0,0
v8,31,13,3,2,1,0
v8,31,14,0,0,0,0
v8,31,15,0,0,0,0
v8,31,16,1,1,0,0
v8,31,17,1,1,0,0
v8,31,18,0,0,0,0
